iter	Logloss
0	0.6783004996
1	0.6637498537
2	0.649693667
3	0.6378930118
4	0.626431254
5	0.6149795692
6	0.6049218588
7	0.5951564946
8	0.5865853759
9	0.5770380542
10	0.5682731214
11	0.5601777511
12	0.552178168
13	0.5448873037
14	0.5386221028
15	0.532057993
16	0.5258028684
17	0.5197427776
18	0.5142752179
19	0.5096479539
20	0.505020418
21	0.5005695255
22	0.496471336
23	0.4920193264
24	0.4882579643
25	0.4845958835
26	0.4812718974
27	0.4782075842
28	0.4748091403
29	0.4717973156
30	0.4692246271
31	0.4663565725
32	0.4636197763
33	0.461223812
34	0.4586941186
35	0.4571216559
36	0.4547766859
37	0.4529758109
38	0.4511387252
39	0.4493841843
40	0.4474484203
41	0.4459863068
42	0.4440787039
43	0.4422140481
44	0.4406442409
45	0.4391324606
46	0.4374740198
47	0.4362077445
48	0.4347549523
49	0.4335739106
50	0.4322828898
51	0.4311105716
52	0.4298461125
53	0.42869493
54	0.427697213
55	0.4267965977
56	0.4258550707
57	0.42489163
58	0.4239885682
59	0.4228184545
60	0.4219938542
61	0.4210949367
62	0.4202403474
63	0.4194770574
64	0.4185552706
65	0.4175614535
66	0.416765636
67	0.4161651246
68	0.4155009235
69	0.4147707048
70	0.4139715403
71	0.4135096955
72	0.4128519175
73	0.412365189
74	0.4117439168
75	0.4112763081
76	0.410773308
77	0.4101347586
78	0.4095080217
79	0.4089211077
80	0.4084294228
81	0.4078942095
82	0.4073857622
83	0.4068774757
84	0.406289599
85	0.4057539161
86	0.4053565817
87	0.4048733967
88	0.4045024532
89	0.4040930793
90	0.4037693449
91	0.4033613082
92	0.4029046754
93	0.4024335615
94	0.4020669977
95	0.4016051875
96	0.4012601947
97	0.4008590707
98	0.4005427884
99	0.4001035306
100	0.3998970767
101	0.3996074465
102	0.399185842
103	0.3987838521
104	0.398485214
105	0.3979385726
106	0.3976618183
107	0.3974003429
108	0.3971962625
109	0.3968800061
110	0.3966099545
111	0.3962797546
112	0.3960332644
113	0.3957035894
114	0.395421643
115	0.3951573248
116	0.3947173878
117	0.3945370042
118	0.3943791518
119	0.394082545
120	0.3939180826
121	0.3937161668
122	0.3935568589
123	0.3931917654
124	0.3929509725
125	0.392756979
126	0.3925773352
127	0.3923414626
128	0.3921205491
129	0.3919403027
130	0.3917778164
131	0.3915275659
132	0.3912537395
133	0.3910232535
134	0.3907683917
135	0.3905542671
136	0.3901795115
137	0.3899398074
138	0.3896605575
139	0.3893916845
140	0.3891806833
141	0.3889636121
142	0.3887793468
143	0.3886551561
144	0.388439806
145	0.3882884688
146	0.3881118592
147	0.3879132364
148	0.3876586106
149	0.3874406854
150	0.3871953848
151	0.3870270413
152	0.3868443102
153	0.3866681263
154	0.3864876086
155	0.3863641834
156	0.3862465947
157	0.3861133323
158	0.3859147881
159	0.3857430227
160	0.3855510826
161	0.385300819
162	0.3851790072
163	0.3849395835
164	0.3847126028
165	0.3844976411
166	0.3842835282
167	0.3841317776
168	0.3839808944
169	0.3837927634
170	0.3836252293
171	0.3834871457
172	0.3832444284
173	0.3830827741
174	0.3829231329
175	0.3827896318
176	0.3826111819
177	0.382388568
178	0.3822272969
179	0.3820618209
180	0.3819267205
181	0.38171948
182	0.3815492879
183	0.3813567677
184	0.381145984
185	0.3810002806
186	0.3807754906
187	0.3806397958
188	0.3805321357
189	0.3804290273
190	0.3802099266
191	0.3799167007
192	0.3797822173
193	0.3794905185
194	0.3792591775
195	0.379163942
196	0.3790097463
197	0.3788281065
198	0.3786071983
199	0.3784033811
200	0.3781540794
201	0.3779852928
202	0.3778297941
203	0.3775863771
204	0.3775077569
205	0.377284365
206	0.3771662632
207	0.3771635524
208	0.376966017
209	0.3766471706
210	0.3765164902
211	0.3763751414
212	0.3761959493
213	0.3759662418
214	0.3759502207
215	0.3758649408
216	0.3757619603
217	0.3756483327
218	0.3755304653
219	0.3753429
220	0.3752245986
221	0.3750867652
222	0.3749731653
223	0.374792351
224	0.3746495179
225	0.3745321635
226	0.3743529228
227	0.3742737614
228	0.3741972029
229	0.3740043462
230	0.3738288721
231	0.3736944242
232	0.3735975245
233	0.3735077948
234	0.3733518893
235	0.3731483027
236	0.3729248411
237	0.3727441158
238	0.3726738415
239	0.3725044189
240	0.3724167104
241	0.3722814109
242	0.3721720528
243	0.3719961874
244	0.3718866657
245	0.3716825234
246	0.3715922912
247	0.3714957306
248	0.3713402406
249	0.3711697033
250	0.3710811962
251	0.3709808697
252	0.3708162974
253	0.3707216197
254	0.3706306023
255	0.3704973134
256	0.3703935271
257	0.3703030085
258	0.3701553085
259	0.3699465621
260	0.3697872952
261	0.3697313571
262	0.3695472571
263	0.3693970238
264	0.3692894609
265	0.3691695738
266	0.3690151667
267	0.3688768553
268	0.3687363633
269	0.3685807203
270	0.3684540622
271	0.3683278704
272	0.3682445629
273	0.3681009128
274	0.3680223639
275	0.3679522728
276	0.3678464083
277	0.3677375719
278	0.3675712363
279	0.3674140763
280	0.3672204936
281	0.3670349083
282	0.3669032981
283	0.3667634092
284	0.3666655508
285	0.3665849636
286	0.366471804
287	0.3663069743
288	0.3661813561
289	0.3660902693
290	0.3659747031
291	0.365841732
292	0.3657188552
293	0.3655882162
294	0.3654437603
295	0.3653469962
296	0.365202996
297	0.365081456
298	0.3649979746
299	0.3648848095
300	0.3647246785
301	0.3646296967
302	0.364464054
303	0.3643553101
304	0.3641642208
305	0.3640561782
306	0.3639079483
307	0.3636649059
308	0.3635923679
309	0.3634832003
310	0.3633830654
311	0.3632213552
312	0.3631533691
313	0.3630407679
314	0.3628370233
315	0.36267849
316	0.3625369689
317	0.3624410553
318	0.362296598
319	0.3621279303
320	0.3619868447
321	0.3618482226
322	0.3616789938
323	0.3616313658
324	0.3614979493
325	0.3613417603
326	0.361254448
327	0.3611180116
328	0.3610676299
329	0.3608808852
330	0.3607203712
331	0.3605523474
332	0.360419385
333	0.3603145424
334	0.3602414491
335	0.3600703123
336	0.3598705455
337	0.3597679837
338	0.3595699433
339	0.359395194
340	0.3592737175
341	0.3591738361
342	0.3591137144
343	0.3589109823
344	0.3588213509
345	0.3586368177
346	0.358419899
347	0.3583322064
348	0.358224012
349	0.358120078
350	0.3580082817
351	0.3579239999
352	0.3577951237
353	0.3577412795
354	0.3576428979
355	0.3575675602
356	0.3573581929
357	0.3572728852
358	0.3571130366
359	0.3570141708
360	0.3568722401
361	0.3566895315
362	0.3565437748
363	0.356447319
364	0.3563068156
365	0.3561812377
366	0.3560031628
367	0.3559231839
368	0.3557365891
369	0.3555467438
370	0.3553905109
371	0.3552725513
372	0.355111206
373	0.3550961106
374	0.3549783406
375	0.3547543678
376	0.3546287216
377	0.3544745746
378	0.354386915
379	0.3542583694
380	0.3541664638
381	0.3540129915
382	0.3538705313
383	0.3537272263
384	0.3535977083
385	0.3533935897
386	0.3532398609
387	0.3530442793
388	0.3529497644
389	0.3528050589
390	0.3526852636
391	0.3525074267
392	0.3524189263
393	0.3522638384
394	0.352146943
395	0.3520101547
396	0.3519267186
397	0.3518446901
398	0.3517508619
399	0.3515681722
400	0.3515031624
401	0.3513977096
402	0.3513763845
403	0.3513319527
404	0.3511931537
405	0.3510272529
406	0.3509530813
407	0.3508913262
408	0.3507244705
409	0.350602277
410	0.3504578581
411	0.3503827422
412	0.350226711
413	0.3501157379
414	0.3499792672
415	0.3498677473
416	0.3497177721
417	0.3496284426
418	0.349540998
419	0.3494050215
420	0.3493340933
421	0.3492056905
422	0.3489805134
423	0.348845857
424	0.3486738771
425	0.3485835284
426	0.348484237
427	0.3483980748
428	0.3483014133
429	0.3482044886
430	0.3480725939
431	0.3479727283
432	0.3478168832
433	0.3477299359
434	0.3475807274
435	0.3474485262
436	0.3473094664
437	0.3471640331
438	0.3470826363
439	0.3468939602
440	0.3467967628
441	0.3467172532
442	0.3465561714
443	0.3464137809
444	0.3462585628
445	0.3462016458
446	0.3461095433
447	0.3459750687
448	0.3458585111
449	0.3456755358
450	0.3455488497
451	0.3454546538
452	0.3453006825
453	0.3451571539
454	0.3450567871
455	0.3449721632
456	0.3448785676
457	0.3448059806
458	0.3446317513
459	0.3444741858
460	0.3443571855
461	0.3442178721
462	0.3440583805
463	0.3439634708
464	0.3438766315
465	0.3437644318
466	0.343652645
467	0.3435791104
468	0.3434502363
469	0.3433134922
470	0.3431390805
471	0.3430533789
472	0.3429649129
473	0.3427312426
474	0.3426083638
475	0.3425297861
476	0.3423898603
477	0.3423404706
478	0.34219433
479	0.3420275946
480	0.3418592557
481	0.3417535162
482	0.3416923175
483	0.3415612476
484	0.3414316321
485	0.3413674021
486	0.3412557468
487	0.3411767101
488	0.341062827
489	0.34100902
490	0.3409416367
491	0.3409027158
492	0.3408112564
493	0.3406479942
494	0.3405767339
495	0.3404763155
496	0.3403559725
497	0.3401740949
498	0.3400413995
499	0.3398652589
500	0.3397411481
501	0.3395824917
502	0.3395030357
503	0.3393577629
504	0.3392094597
505	0.3390201482
506	0.338821458
507	0.3386646314
508	0.3384871643
509	0.3384219783
510	0.3383170488
511	0.3381782357
512	0.3381089542
513	0.3379578406
514	0.3378379964
515	0.3376793706
516	0.3375853165
517	0.3374772676
518	0.3373653238
519	0.3372974704
520	0.3372339379
521	0.337088878
522	0.3369662699
523	0.33690584
524	0.3368009619
525	0.3366969429
526	0.3366473247
527	0.3364971687
528	0.3363103651
529	0.3361755968
530	0.336017869
531	0.33588105
532	0.3358104726
533	0.3356451795
534	0.3355821156
535	0.3354833606
536	0.3353093409
537	0.3352476977
538	0.3351731376
539	0.3350674157
540	0.3349577151
541	0.3348883862
542	0.3347473805
543	0.3345650716
544	0.334411328
545	0.3342698933
546	0.3341613584
547	0.3340317961
548	0.3339573121
549	0.3337759184
550	0.3337053643
551	0.3336517229
552	0.3335071249
553	0.3333669884
554	0.3332373054
555	0.3330477892
556	0.3329918243
557	0.3328337614
558	0.3327064045
559	0.3325568621
560	0.3323933228
561	0.3322934033
562	0.3321701224
563	0.3320592067
564	0.3320053328
565	0.3318726621
566	0.3317564128
567	0.3316057132
568	0.3315537242
569	0.3314355392
570	0.3313581908
571	0.3311807891
572	0.3310414919
573	0.3309280635
574	0.330792821
575	0.3306434035
576	0.3305154514
577	0.3304199678
578	0.3302909219
579	0.3301991662
580	0.3300717385
581	0.3299441679
582	0.329816951
583	0.3296709135
584	0.3295641981
585	0.3294956484
586	0.3294062654
587	0.3292959786
588	0.3292383907
589	0.3291057335
590	0.3290412985
591	0.328938485
592	0.3288013293
593	0.3286529545
594	0.3285870562
595	0.3284464419
